Time (s),Temp (C),Degree of Cure,Cure Rate
415.02,90.2035,0.224478324,0.00138398
416.0202,90.2043,0.225853879,0.001389171
417.0198,90.2048,0.227233152,0.001393762
418.02,90.2048,0.228618135,0.001398693
419.0202,90.2057,0.230007974,0.001403597
420.0198,90.2058,0.231401878,0.001408547
421.02,90.2058,0.232801249,0.001413224
422.0202,90.2063,0.234205657,0.001418311
423.0198,90.2067,0.235613057,0.001422185
424.02,90.207,0.237025693,0.001426619
425.0202,90.2079,0.238443346,0.001431687
426.0198,90.2082,0.239863983,0.001435561
427.02,90.2082,0.241289947,0.00144008
428.0202,90.2087,0.242720375,0.001444587
429.0198,90.2093,0.244153558,0.001448239
430.02,90.2093,0.245591515,0.001452191
431.0202,90.2098,0.247034929,0.001457702
432.0198,90.2101,0.24848162,0.001461889
433.02,90.2107,0.249932719,0.001465463
434.0202,90.2111,0.251387802,0.001469487
435.0198,90.2109,0.252846047,0.001473563
436.02,90.2113,0.25430875,0.001477183
437.0202,90.2118,0.255775658,0.001481429
438.0198,90.2123,0.25724539,0.001485172
439.02,90.2127,0.258719227,0.001488427
440.0202,90.2131,0.260197385,0.00149279
441.0198,90.2134,0.26167847,0.001496644
442.02,90.2139,0.263163317,0.001499546
443.0202,90.2141,0.264652305,0.001503727
444.0198,90.2143,0.266143393,0.001506753
445.02,90.2148,0.267639691,0.001511109
446.0202,90.2147,0.269139211,0.001514364
447.0198,90.2153,0.270641078,0.001517644
448.02,90.2156,0.272147463,0.001521297
449.0202,90.2157,0.273656618,0.001524094
450.0198,90.216,0.275168275,0.001527538
451.02,90.2166,0.276683727,0.001530453
452.0202,90.2165,0.278202382,0.001533688
453.0198,90.217,0.279723979,0.001537581
454.02,90.2173,0.28124873,0.001539845
455.0202,90.2174,0.282776438,0.001542832
456.0198,90.2177,0.284305515,0.00154514
457.02,90.2178,0.285838158,0.001547814
458.0202,90.2181,0.287374016,0.001551062
459.0198,90.2184,0.28891209,0.001554232
460.02,90.2187,0.290454471,0.001557649
461.0202,90.2188,0.291999397,0.001560219
462.0198,90.2188,0.293545977,0.001562827
